Name,Year,Country,Type,Captain
Aurora 100,1965,UK,BulkCarrier,William Brown
Neptune 64,1971,USA,BulkCarrier,Jean Dupont
Titanic 75,1971,France,BulkCarrier,John Smith
Odyssey 62,1995,USA,Tanker,William Brown
Aurora 7,2022,France,BulkCarrier,Carlos Sanchez
Poseidon 14,2000,Germany,BulkCarrier,William Brown
Neptune 5,2009,Japan,BulkCarrier,William Brown
Viking 40,1967,Germany,Tanker,Li Wei
Titanic 8,2021,USA,Passenger,Li Wei
Enterprise 25,2012,Germany,Tanker,Ivan Petrov
Poseidon 5,1962,Russia,Passenger,Li Wei
Viking 42,1984,USA,Passenger,Jean Dupont
Nautilus 90,1982,USA,Tanker,Li Wei
Viking 49,2009,UK,Tanker,Li Wei
Nautilus 57,1958,Japan,Passenger,Carlos Sanchez
Poseidon 54,2009,Germany,Tanker,Hans Müller
Odyssey 71,2007,Russia,Passenger,Carlos Sanchez
Aurora 64,1997,China,Passenger,William Brown
Odyssey 31,1951,Germany,BulkCarrier,Carlos Sanchez
Odyssey 25,1951,Japan,BulkCarrier,Ivan Petrov
Aurora 74,2003,Germany,Passenger,Jean Dupont
Poseidon 10,2024,China,Passenger,Li Wei
Viking 34,1954,France,Tanker,Hans Müller
Nautilus 26,1963,France,Passenger,John Smith
Poseidon 59,1959,Germany,Tanker,John Smith
Poseidon 28,1991,China,Tanker,William Brown
Nautilus 20,1964,USA,Tanker,Carlos Sanchez
Poseidon 30,2021,France,BulkCarrier,John Smith
Enterprise 85,2019,Russia,Passenger,Carlos Sanchez
Enterprise 5,1982,Russia,Passenger,John Smith
Odyssey 12,1954,UK,Passenger,Li Wei
Poseidon 36,2006,Russia,BulkCarrier,William Brown
Neptune 37,1954,Japan,BulkCarrier,Hans Müller
Viking 83,2025,France,Passenger,Hans Müller
Titanic 32,2007,Japan,Passenger,Li Wei
Poseidon 44,1990,USA,BulkCarrier,William Brown
Nautilus 9,1951,Russia,Passenger,William Brown
Poseidon 38,1987,France,Passenger,John Smith
Titanic 20,2014,Japan,Passenger,Li Wei
Aurora 80,2002,France,Passenger,Li Wei
Odyssey 63,1967,China,Tanker,John Smith
Enterprise 93,2011,USA,Passenger,Li Wei
Enterprise 53,2001,China,Passenger,Carlos Sanchez
Odyssey 78,2007,France,Passenger,Ivan Petrov
Titanic 85,2001,China,Passenger,Jean Dupont
Titanic 41,1985,UK,Passenger,William Brown
Nautilus 18,1998,France,Passenger,Li Wei
Nautilus 49,2013,Germany,BulkCarrier,Li Wei
Odyssey 13,2009,France,BulkCarrier,Jean Dupont
Enterprise 73,1988,France,BulkCarrier,John Smith
Titanic 76,2024,Russia,Passenger,Jean Dupont
Odyssey 78,2016,UK,BulkCarrier,William Brown
Odyssey 61,2014,UK,BulkCarrier,Hans Müller
Aurora 3,2006,Russia,Passenger,Jean Dupont
Titanic 29,1983,Russia,BulkCarrier,William Brown
Titanic 31,2007,Russia,BulkCarrier,Ivan Petrov
Poseidon 49,2012,USA,Passenger,Carlos Sanchez
Viking 5,1980,UK,BulkCarrier,Ivan Petrov
Neptune 61,2022,China,Tanker,William Brown
Viking 97,1988,Germany,Tanker,Jean Dupont
Neptune 71,1968,Germany,Passenger,Hans Müller
Odyssey 100,2024,France,Tanker,William Brown
Enterprise 64,1964,USA,Tanker,Hans Müller
Viking 29,1964,Russia,Tanker,John Smith
Enterprise 78,1962,USA,Passenger,Li Wei
Enterprise 3,1981,China,BulkCarrier,John Smith
Enterprise 32,2021,UK,Tanker,William Brown
Titanic 44,1991,USA,BulkCarrier,Jean Dupont
Poseidon 39,2012,UK,BulkCarrier,Carlos Sanchez
Enterprise 39,1966,USA,BulkCarrier,Hans Müller
Titanic 23,2021,UK,Tanker,Carlos Sanchez
Aurora 43,1962,China,Tanker,Li Wei
Nautilus 47,2008,China,BulkCarrier,Ivan Petrov
Neptune 48,2002,Russia,Tanker,Hans Müller
Titanic 72,1956,Russia,Tanker,Li Wei
Enterprise 11,2009,Germany,Passenger,John Smith
Aurora 11,1984,China,BulkCarrier,Li Wei
Viking 81,2000,Russia,Tanker,Li Wei
Aurora 100,2016,Germany,Passenger,William Brown
Titanic 5,1990,China,Passenger,John Smith
Titanic 70,1973,China,Tanker,Hans Müller
Nautilus 90,1963,Japan,BulkCarrier,Li Wei
Neptune 2,1984,Russia,Passenger,Ivan Petrov
Viking 5,1954,Russia,BulkCarrier,Carlos Sanchez
Titanic 58,2018,France,BulkCarrier,John Smith
Nautilus 26,1954,Russia,Passenger,Hans Müller
Nautilus 63,1968,France,BulkCarrier,Hans Müller
Viking 32,1958,China,Passenger,William Brown
Enterprise 87,2009,Germany,Tanker,Jean Dupont
Enterprise 3,2019,France,Tanker,Carlos Sanchez
Enterprise 18,1992,Germany,BulkCarrier,William Brown
Enterprise 8,1954,USA,Passenger,John Smith
Poseidon 44,1966,Japan,Tanker,William Brown
Nautilus 10,2000,UK,BulkCarrier,Ivan Petrov
Viking 82,1967,UK,BulkCarrier,Li Wei
Viking 88,2024,Russia,BulkCarrier,Ivan Petrov
Viking 95,2017,USA,Passenger,William Brown
Neptune 60,1986,Japan,Tanker,Ivan Petrov
Nautilus 78,1983,Russia,Passenger,Jean Dupont
Titanic 24,1985,Russia,Passenger,Hans Müller
Enterprise 91,1984,Japan,Passenger,Jean Dupont
Odyssey 96,1958,USA,BulkCarrier,William Brown
Viking 50,2006,France,Tanker,Ivan Petrov
Nautilus 52,2012,Russia,Tanker,William Brown
Enterprise 62,2019,Japan,Tanker,Jean Dupont
Nautilus 64,1999,UK,Passenger,Jean Dupont
Titanic 45,2003,USA,BulkCarrier,Li Wei
Poseidon 99,1972,USA,Tanker,William Brown
Viking 91,2021,China,Passenger,William Brown
Enterprise 38,2016,China,Passenger,Li Wei
Viking 46,1966,Germany,BulkCarrier,Jean Dupont
Neptune 26,1975,China,Tanker,Li Wei
Titanic 23,1963,UK,BulkCarrier,William Brown
Titanic 60,1980,China,BulkCarrier,John Smith
Nautilus 62,1952,Russia,BulkCarrier,Ivan Petrov
Neptune 5,1954,USA,BulkCarrier,William Brown
Viking 96,1964,Russia,Passenger,Ivan Petrov
Titanic 1,2015,China,Passenger,Carlos Sanchez
Poseidon 26,1994,Japan,Tanker,Carlos Sanchez
Poseidon 80,1974,Germany,BulkCarrier,William Brown
Neptune 64,2000,China,Passenger,Ivan Petrov
Titanic 68,2025,China,Passenger,Carlos Sanchez
Poseidon 43,2025,USA,Tanker,John Smith
Nautilus 51,1971,China,BulkCarrier,Li Wei
Aurora 87,1977,Japan,Passenger,William Brown
Poseidon 29,1972,Germany,Passenger,Li Wei
Titanic 32,1969,Germany,Tanker,John Smith
Enterprise 24,1980,China,Tanker,Li Wei
Enterprise 9,1963,France,BulkCarrier,John Smith
Neptune 61,1956,China,BulkCarrier,Jean Dupont
Viking 100,1999,USA,Tanker,Jean Dupont
Nautilus 7,1957,China,Passenger,Ivan Petrov
Nautilus 42,2006,Russia,BulkCarrier,Li Wei
Aurora 59,2001,France,BulkCarrier,William Brown
Aurora 34,1965,UK,Tanker,Li Wei
Neptune 51,1963,UK,Tanker,Jean Dupont
Enterprise 23,1965,USA,BulkCarrier,Hans Müller
Nautilus 72,1983,Russia,Tanker,Jean Dupont
Odyssey 6,1983,France,Tanker,Jean Dupont
Viking 67,2008,Japan,BulkCarrier,Jean Dupont
Poseidon 52,1997,Germany,Passenger,John Smith
Enterprise 82,2010,UK,Passenger,John Smith
Neptune 29,2005,Japan,BulkCarrier,William Brown
Aurora 86,2012,China,BulkCarrier,Jean Dupont
Enterprise 40,1991,China,BulkCarrier,Jean Dupont
Poseidon 41,1980,UK,Passenger,Ivan Petrov
Titanic 40,1996,Japan,Tanker,William Brown
Poseidon 5,2016,Germany,Passenger,John Smith
Titanic 67,1988,France,BulkCarrier,Jean Dupont
Titanic 100,1976,Japan,Passenger,Hans Müller
Enterprise 14,1958,Germany,Tanker,Li Wei
Enterprise 54,2021,USA,Tanker,William Brown
Nautilus 79,2013,China,Tanker,Li Wei
Poseidon 30,1975,USA,Tanker,Hans Müller
Titanic 94,1990,France,Passenger,John Smith
Neptune 22,1986,UK,BulkCarrier,John Smith
Viking 45,1984,Japan,BulkCarrier,John Smith
Odyssey 28,1982,Germany,BulkCarrier,Carlos Sanchez
Nautilus 82,1955,UK,Passenger,John Smith
Aurora 71,1976,Germany,Tanker,Jean Dupont
Titanic 21,1953,France,Tanker,William Brown
Titanic 32,2021,China,Passenger,Ivan Petrov
Titanic 25,1961,Japan,Tanker,Li Wei
Aurora 60,1950,China,BulkCarrier,William Brown
Titanic 75,2016,Japan,Tanker,John Smith
Odyssey 91,1971,Russia,BulkCarrier,Carlos Sanchez
Viking 83,2017,UK,Tanker,Hans Müller
Nautilus 7,1952,Russia,BulkCarrier,Jean Dupont
Enterprise 6,2007,Germany,BulkCarrier,Li Wei
Poseidon 83,2016,Japan,Tanker,Ivan Petrov
Odyssey 45,1976,Russia,BulkCarrier,John Smith
Titanic 85,1967,France,BulkCarrier,Ivan Petrov
Titanic 10,2024,USA,Tanker,William Brown
Aurora 17,1988,UK,Tanker,Li Wei
Aurora 58,1950,Germany,Passenger,William Brown
Neptune 85,1950,Russia,BulkCarrier,Ivan Petrov
Neptune 78,2020,Germany,Tanker,Ivan Petrov
Poseidon 64,2019,Germany,BulkCarrier,Hans Müller
Aurora 14,1954,Russia,BulkCarrier,Ivan Petrov
Nautilus 25,1978,Russia,Tanker,Hans Müller
Titanic 33,1966,UK,BulkCarrier,Hans Müller
Enterprise 80,1999,Germany,Passenger,John Smith
Odyssey 80,1964,France,Passenger,William Brown
Odyssey 81,1963,Japan,Passenger,Li Wei
Poseidon 35,1997,Japan,Tanker,Ivan Petrov
Neptune 14,1983,China,BulkCarrier,Hans Müller
Neptune 77,1986,USA,BulkCarrier,Jean Dupont
Titanic 81,1960,UK,Tanker,Jean Dupont
Nautilus 38,1952,UK,BulkCarrier,John Smith
Nautilus 5,2005,Japan,Passenger,John Smith
Poseidon 66,1983,USA,Tanker,Jean Dupont
Enterprise 55,2015,France,BulkCarrier,Jean Dupont
Odyssey 69,1978,France,Passenger,John Smith
Titanic 38,2005,UK,Passenger,Li Wei
Odyssey 16,1999,Germany,Passenger,Hans Müller
Enterprise 86,2015,Germany,Tanker,Hans Müller
Aurora 20,2025,China,Passenger,William Brown
Nautilus 100,1955,France,BulkCarrier,Ivan Petrov
Viking 88,2018,USA,BulkCarrier,Li Wei
Poseidon 50,2023,Japan,Tanker,John Smith
Neptune 71,2003,Russia,Tanker,Li Wei
Neptune 96,1968,France,Passenger,Jean Dupont
Odyssey 51,1964,USA,Tanker,Jean Dupont
Nautilus 11,2006,Russia,BulkCarrier,Jean Dupont
Titanic 22,2006,USA,Tanker,Li Wei
Poseidon 37,2008,UK,BulkCarrier,Li Wei
Titanic 80,1958,Germany,Passenger,Ivan Petrov
Aurora 32,1956,Russia,Passenger,Carlos Sanchez
Aurora 74,1958,China,BulkCarrier,Carlos Sanchez
Poseidon 79,1995,France,BulkCarrier,William Brown
Nautilus 23,2001,Germany,Passenger,William Brown
Nautilus 4,1969,Japan,Tanker,John Smith
Poseidon 44,1951,Japan,BulkCarrier,Li Wei
Titanic 46,1988,USA,BulkCarrier,Carlos Sanchez
Titanic 97,1980,Japan,Tanker,John Smith
Aurora 99,2000,Russia,Passenger,William Brown
Odyssey 9,1999,Germany,Tanker,Li Wei
Aurora 30,1962,UK,Passenger,Hans Müller
Aurora 8,1975,Japan,Tanker,William Brown
Odyssey 45,1999,USA,BulkCarrier,Ivan Petrov
Odyssey 7,1969,Japan,Passenger,William Brown
Titanic 11,2018,France,Passenger,William Brown
Titanic 43,1950,China,Tanker,Ivan Petrov
Enterprise 23,1959,USA,BulkCarrier,John Smith
Neptune 70,1982,Russia,Passenger,William Brown
Enterprise 41,2002,China,Passenger,John Smith
Poseidon 2,2002,China,BulkCarrier,Hans Müller
Neptune 54,1964,China,Passenger,John Smith
Titanic 1,2010,USA,Tanker,William Brown
Odyssey 3,1962,UK,BulkCarrier,Li Wei
Poseidon 24,1996,USA,Tanker,Li Wei
Poseidon 95,1953,UK,Passenger,Li Wei
Titanic 28,1954,Japan,Tanker,John Smith
Enterprise 29,1967,UK,Passenger,William Brown
Viking 45,1990,Germany,Tanker,Hans Müller
Enterprise 87,1960,China,Tanker,John Smith
Titanic 65,1964,Japan,BulkCarrier,John Smith
Aurora 60,2002,France,Tanker,Li Wei
Nautilus 5,2022,Japan,Tanker,Hans Müller
Aurora 33,1950,France,BulkCarrier,Jean Dupont
Poseidon 57,1959,France,Tanker,Hans Müller
Odyssey 35,1985,Russia,Passenger,William Brown
Titanic 78,2012,France,Tanker,William Brown
Odyssey 51,1958,UK,Passenger,Hans Müller
Odyssey 25,1962,UK,Passenger,Ivan Petrov
Odyssey 21,1998,France,BulkCarrier,William Brown
Viking 81,2015,USA,BulkCarrier,Jean Dupont
Nautilus 70,2025,USA,Passenger,Hans Müller
Neptune 37,1983,China,BulkCarrier,Carlos Sanchez
Titanic 86,1977,Japan,Tanker,William Brown
Poseidon 82,2005,UK,Passenger,William Brown
Nautilus 19,2012,USA,Passenger,Ivan Petrov
Poseidon 36,1973,UK,BulkCarrier,Li Wei
Titanic 10,1997,UK,BulkCarrier,Li Wei
Titanic 26,1981,China,Tanker,Carlos Sanchez
Nautilus 33,2007,Japan,Tanker,William Brown
Enterprise 76,1998,Germany,Passenger,Hans Müller
Viking 82,1986,Germany,Tanker,Li Wei
Neptune 82,1967,Germany,Tanker,Carlos Sanchez
Odyssey 2,1960,Germany,Passenger,Carlos Sanchez
Poseidon 84,2004,UK,Tanker,John Smith
Enterprise 75,1976,Japan,Tanker,Hans Müller
Aurora 7,1981,France,Passenger,Jean Dupont
Viking 32,2022,France,BulkCarrier,Hans Müller
Titanic 95,2020,Germany,Tanker,Jean Dupont
Odyssey 34,2011,France,Passenger,William Brown
Aurora 94,2021,UK,Tanker,William Brown
Neptune 34,2001,Russia,Tanker,Carlos Sanchez
Nautilus 75,1962,Russia,BulkCarrier,John Smith
Viking 87,1972,China,BulkCarrier,Carlos Sanchez
Poseidon 90,1956,Germany,BulkCarrier,Carlos Sanchez
Neptune 66,1953,Russia,Tanker,Carlos Sanchez
Titanic 46,1984,USA,Passenger,William Brown
Nautilus 95,2024,Russia,Passenger,Carlos Sanchez
Titanic 38,2019,UK,Tanker,Ivan Petrov
Odyssey 46,2005,Russia,Passenger,Ivan Petrov
Poseidon 90,1999,Russia,Tanker,Li Wei
Neptune 3,2025,USA,Passenger,Carlos Sanchez
Odyssey 8,2016,Japan,Passenger,Li Wei
Poseidon 71,1974,China,Tanker,William Brown
Nautilus 61,1962,UK,BulkCarrier,Jean Dupont
Viking 97,1966,France,BulkCarrier,Carlos Sanchez
Viking 10,1993,France,BulkCarrier,Li Wei
Odyssey 27,2006,Germany,Tanker,Jean Dupont
Poseidon 44,1987,China,BulkCarrier,Hans Müller
Nautilus 14,2011,France,Tanker,Li Wei
Neptune 10,1967,Japan,Passenger,Li Wei
Poseidon 34,1975,Germany,Tanker,Ivan Petrov
Viking 21,1952,UK,Tanker,John Smith
Odyssey 38,1969,UK,Passenger,Hans Müller
Odyssey 6,1951,Japan,Tanker,Jean Dupont
Poseidon 31,2023,USA,Tanker,Hans Müller
Viking 29,1970,Japan,BulkCarrier,Li Wei
Poseidon 25,2021,China,BulkCarrier,Hans Müller
Poseidon 89,1981,USA,Passenger,Hans Müller
Poseidon 9,1997,China,Passenger,Hans Müller
Neptune 84,2012,UK,BulkCarrier,Li Wei
Aurora 76,1997,China,BulkCarrier,Carlos Sanchez
Nautilus 50,2024,France,Passenger,William Brown
Neptune 90,2022,France,Tanker,Li Wei
Enterprise 47,2014,Germany,Tanker,William Brown
Nautilus 50,1999,Germany,BulkCarrier,Ivan Petrov
Titanic 12,2006,UK,Tanker,Jean Dupont
Poseidon 89,1997,Germany,Passenger,Carlos Sanchez
Enterprise 81,2024,France,BulkCarrier,William Brown
Poseidon 99,1978,China,Tanker,Jean Dupont
Nautilus 2,2019,Japan,Tanker,Ivan Petrov
Viking 87,2015,Russia,Tanker,Ivan Petrov
Enterprise 80,2025,Japan,BulkCarrier,Carlos Sanchez
Titanic 8,1965,Russia,BulkCarrier,Jean Dupont
Neptune 51,2014,France,Tanker,Carlos Sanchez
Odyssey 70,2019,China,Tanker,Jean Dupont
Nautilus 55,1999,China,BulkCarrier,William Brown
Titanic 97,2022,China,Tanker,Hans Müller
Enterprise 96,1971,Germany,BulkCarrier,Jean Dupont
Aurora 10,1953,Germany,Tanker,William Brown
Enterprise 55,2023,Germany,Passenger,Jean Dupont
Titanic 21,2025,USA,Tanker,Jean Dupont
Poseidon 43,1959,USA,BulkCarrier,John Smith
Odyssey 62,1964,USA,Passenger,John Smith
Poseidon 49,2005,USA,Tanker,Ivan Petrov
Poseidon 60,2005,Japan,Tanker,John Smith
Poseidon 83,1955,France,Tanker,Li Wei
Aurora 28,1950,France,BulkCarrier,William Brown
Odyssey 91,2000,USA,Passenger,John Smith
Poseidon 75,1955,France,Passenger,William Brown
Neptune 2,1977,France,Passenger,Jean Dupont
Titanic 31,1963,France,BulkCarrier,Hans Müller
Neptune 52,2024,UK,BulkCarrier,Jean Dupont
Titanic 36,1956,USA,BulkCarrier,John Smith
Enterprise 41,1996,UK,Passenger,Li Wei
Enterprise 82,2002,UK,Passenger,William Brown
Enterprise 50,2006,France,Tanker,Ivan Petrov
Nautilus 47,1951,France,Tanker,Li Wei
Neptune 91,2003,USA,Passenger,William Brown
Enterprise 54,1984,UK,Passenger,John Smith
Poseidon 58,1985,Japan,Tanker,Hans Müller
Titanic 29,2018,Japan,Passenger,William Brown
Aurora 91,1990,Japan,Passenger,Li Wei
Enterprise 96,1987,Germany,Passenger,John Smith
Neptune 61,1980,USA,Tanker,Carlos Sanchez
Enterprise 47,2003,Japan,Tanker,Li Wei
Titanic 37,1953,Japan,BulkCarrier,John Smith
Poseidon 2,1993,Russia,Passenger,Carlos Sanchez
Enterprise 39,2000,UK,BulkCarrier,Carlos Sanchez
Odyssey 35,1988,Russia,Passenger,Jean Dupont
Neptune 68,1976,UK,Passenger,Carlos Sanchez
Aurora 11,2010,France,Passenger,Carlos Sanchez
Titanic 47,1968,Germany,Tanker,Jean Dupont
Odyssey 65,1976,France,Passenger,Jean Dupont
Poseidon 99,1950,Japan,Passenger,Hans Müller
Odyssey 88,1956,France,BulkCarrier,Ivan Petrov
Enterprise 47,1997,Russia,Passenger,Carlos Sanchez
Enterprise 48,2001,Japan,Passenger,Jean Dupont
Viking 92,1960,Russia,Tanker,William Brown
Nautilus 41,1979,China,Passenger,Carlos Sanchez
Nautilus 82,2004,China,BulkCarrier,Jean Dupont
Enterprise 56,1956,UK,Passenger,William Brown
Aurora 68,1970,Germany,Tanker,Carlos Sanchez
Titanic 60,1952,France,BulkCarrier,Ivan Petrov
Odyssey 50,1989,China,BulkCarrier,Carlos Sanchez
Neptune 24,1958,USA,BulkCarrier,Carlos Sanchez
Poseidon 14,2019,Japan,BulkCarrier,Ivan Petrov
Nautilus 5,1980,France,Passenger,Jean Dupont
Neptune 58,2020,Japan,Tanker,John Smith
Enterprise 98,1954,France,Passenger,John Smith
Poseidon 82,2008,Germany,BulkCarrier,John Smith
Viking 43,1971,Russia,Tanker,Ivan Petrov
Viking 25,1988,USA,Tanker,Carlos Sanchez
Aurora 60,1980,Germany,BulkCarrier,Hans Müller
Titanic 46,1956,Germany,Tanker,Hans Müller
Aurora 29,1995,France,Tanker,Jean Dupont
Nautilus 51,1974,Russia,BulkCarrier,Hans Müller
Titanic 60,1961,UK,Passenger,Hans Müller
Poseidon 51,1969,Japan,Passenger,Hans Müller
Poseidon 91,1985,China,BulkCarrier,Jean Dupont
Viking 48,2010,Japan,Passenger,Jean Dupont
Neptune 49,1957,Russia,Tanker,William Brown
Viking 3,1956,Japan,Passenger,Carlos Sanchez
Neptune 49,2016,France,Passenger,Jean Dupont
Poseidon 64,1994,UK,Tanker,Jean Dupont
Nautilus 77,1965,China,Passenger,Carlos Sanchez
Poseidon 64,1975,UK,Tanker,Carlos Sanchez
Odyssey 18,2025,China,Tanker,Ivan Petrov
Viking 23,1970,Germany,Tanker,Li Wei
Titanic 4,1955,France,Passenger,Carlos Sanchez
Poseidon 75,1967,USA,BulkCarrier,Carlos Sanchez
Poseidon 55,2000,Russia,BulkCarrier,Jean Dupont
Odyssey 9,1989,China,BulkCarrier,William Brown
Titanic 95,1984,Germany,BulkCarrier,John Smith
Titanic 90,1984,Russia,BulkCarrier,Ivan Petrov
Neptune 14,2025,China,Passenger,John Smith
Poseidon 21,1990,UK,BulkCarrier,Jean Dupont
Neptune 60,1972,Japan,Tanker,John Smith
Odyssey 59,2009,UK,Tanker,Hans Müller
Nautilus 71,1980,USA,BulkCarrier,Hans Müller
Neptune 68,1989,USA,Tanker,Carlos Sanchez
Poseidon 91,1984,Japan,Tanker,Li Wei
Enterprise 58,1996,China,Tanker,John Smith
